,efficiency,quality,end_time,start_time,time_offset,update_time,create_time,sleep_duration_in_hour,Date,week_day,year_month,sleep_start_hour,sleep_wakeup_hour,next_start_time,next_end_time,delta
47,96.57258,50005.0,2018-03-09 06:42:00.000,2018-03-08 22:26:00.000,UTC-0500,2018-03-09 07:41:30.789,2018-03-09 06:42:36.968,8.266666666666667,2018-03-08,Thursday,2018-03,22,6,2018-03-09 22:30:00.000,2018-03-10 05:42:00.000,15.8
104,93.071594,,2018-03-10 05:42:00.000,2018-03-09 22:30:00.000,UTC-0500,2018-03-10 05:48:01.400,2018-03-10 05:48:01.400,7.2,2018-03-09,Friday,2018-03,22,5,2018-03-10 21:11:00.000,2018-03-11 05:36:00.000,15.483333333333333
100,93.04933,50003.0,2018-03-11 05:36:00.000,2018-03-10 21:11:00.000,UTC-0400,2018-03-11 07:21:32.812,2018-03-11 05:37:49.613,8.416666666666666,2018-03-10,Saturday,2018-03,21,5,2018-03-11 23:17:00.000,2018-03-12 05:00:00.000,17.683333333333334
304,96.22093,,2018-03-12 05:00:00.000,2018-03-11 23:17:00.000,UTC-0400,2018-03-12 05:06:49.636,2018-03-12 05:06:49.636,5.716666666666667,2018-03-11,Sunday,2018-03,23,5,2018-03-12 21:39:00.000,2018-03-13 05:51:00.000,16.65
174,95.13184,,2018-03-13 05:51:00.000,2018-03-12 21:39:00.000,UTC-0400,2018-03-13 05:52:06.238,2018-03-13 05:52:06.238,8.2,2018-03-12,Monday,2018-03,21,5,2018-03-13 22:19:00.000,2018-03-14 06:32:00.000,16.466666666666665
191,95.13184,,2018-03-14 06:32:00.000,2018-03-13 22:19:00.000,UTC-0400,2018-03-14 06:32:42.034,2018-03-14 06:32:42.034,8.216666666666667,2018-03-13,Tuesday,2018-03,22,6,2018-03-14 22:54:00.000,2018-03-15 05:41:00.000,16.366666666666667
105,91.66667,50003.0,2018-03-15 05:41:00.000,2018-03-14 22:54:00.000,UTC-0400,2018-03-15 13:57:36.613,2018-03-15 05:42:06.860,6.783333333333333,2018-03-14,Wednesday,2018-03,22,5,2018-03-15 22:20:00.000,2018-03-16 06:15:00.000,16.65
139,95.16807,,2018-03-16 06:15:00.000,2018-03-15 22:20:00.000,UTC-0400,2018-03-16 06:17:37.960,2018-03-16 06:17:37.960,7.916666666666667,2018-03-15,Thursday,2018-03,22,6,2018-03-16 23:56:00.000,2018-03-17 07:55:00.000,17.683333333333334
242,95.4984,,2018-03-17 07:55:00.000,2018-03-16 23:56:00.000,UTC-0400,2018-03-17 05:11:35.010,2018-03-17 05:11:35.010,7.983333333333333,2018-03-16,Friday,2018-03,23,5,2018-03-17 23:54:00.000,2018-03-18 07:00:00.000,15.983333333333333
387,95.07042,,2018-03-18 07:00:00.000,2018-03-17 23:54:00.000,UTC-0400,2018-03-18 07:00:32.626,2018-03-18 07:00:32.626,7.1,2018-03-17,Saturday,2018-03,23,7,2018-03-18 23:16:00.000,2018-03-19 06:29:00.000,16.266666666666666
280,93.7788,,2018-03-19 06:29:00.000,2018-03-18 23:16:00.000,UTC-0400,2018-03-19 06:30:08.348,2018-03-19 06:30:08.348,7.216666666666667,2018-03-18,Sunday,2018-03,23,6,2018-03-19 21:51:00.000,2018-03-20 04:51:00.000,15.366666666666667
417,94.299286,,2018-03-20 04:51:00.000,2018-03-19 21:51:00.000,UTC-0400,2018-03-20 05:05:47.315,2018-03-20 05:05:47.315,7.0,2018-03-19,Monday,2018-03,21,4,2018-03-20 22:13:00.000,2018-03-21 05:42:00.000,17.366666666666667
136,92.42762,,2018-03-21 05:42:00.000,2018-03-20 22:13:00.000,UTC-0400,2018-03-21 05:42:24.842,2018-03-21 05:42:24.842,7.483333333333333,2018-03-20,Tuesday,2018-03,22,5,2018-03-21 22:32:00.000,2018-03-21 23:54:00.000,16.833333333333332
124,96.385544,,2018-03-21 23:54:00.000,2018-03-21 22:32:00.000,UTC-0400,2018-03-22 00:09:06.294,2018-03-22 00:09:06.294,1.3666666666666667,2018-03-21,Wednesday,2018-03,22,23,2018-03-22 02:27:00.000,2018-03-22 06:53:00.000,2.55
301,92.85714,,2018-03-22 06:53:00.000,2018-03-22 02:27:00.000,UTC-0400,2018-03-22 06:53:49.549,2018-03-22 06:53:49.549,4.433333333333334,2018-03-22,Thursday,2018-03,2,6,2018-03-22 22:14:00.000,2018-03-23 06:23:00.000,15.35
87,92.666664,,2018-03-23 06:23:00.000,2018-03-22 22:14:00.000,UTC-0400,2018-03-23 03:28:03.284,2018-03-23 03:28:03.284,8.15,2018-03-22,Thursday,2018-03,22,3,2018-03-23 21:55:00.000,2018-03-24 05:29:00.000,15.533333333333333
40,91.86813,,2018-03-24 05:29:00.000,2018-03-23 21:55:00.000,UTC-0400,2018-03-24 05:30:16.435,2018-03-24 05:30:16.435,7.566666666666666,2018-03-23,Friday,2018-03,21,5,2018-03-25 01:30:00.000,2018-03-25 06:41:00.000,20.016666666666666
122,91.025635,,2018-03-25 06:41:00.000,2018-03-25 01:30:00.000,UTC-0400,2018-03-25 06:43:36.674,2018-03-25 06:43:36.674,5.183333333333334,2018-03-25,Sunday,2018-03,1,6,2018-03-25 23:39:00.000,2018-03-26 06:12:00.000,16.966666666666665
