,start_time,end_time,floor,time_offset,Duration_in_min,Date,climb_time_hour
223,2018-07-18 08:14:51,2018-07-18 08:15:06,1.0,UTC-0400,0.25,2018-07-18,12
224,2018-09-30 13:30:13,2018-09-30 13:31:02,2.0,UTC-0400,0.8166666666666667,2018-09-30,17
225,2018-04-19 09:02:00,2018-04-19 09:02:10,1.0,UTC-0400,0.16666666666666666,2018-04-19,13
226,2018-04-05 08:44:00,2018-04-05 08:44:10,1.0,UTC-0400,0.16666666666666666,2018-04-05,12
227,2018-03-21 20:01:18,2018-03-21 20:01:38,1.0,UTC-0400,0.3333333333333333,2018-03-22,0
228,2017-12-21 11:15:33,2017-12-21 11:16:21,2.0,UTC-0800,0.8,2017-12-21,19
229,2018-10-12 14:47:12,2018-10-12 14:47:29,1.0,UTC-0400,0.2833333333333333,2018-10-12,18
230,2018-05-28 08:45:07,2018-05-28 08:45:19,1.0,UTC-0400,0.2,2018-05-28,12
231,2018-04-05 16:31:55,2018-04-05 16:32:07,1.0,UTC-0400,0.2,2018-04-05,20
232,2018-08-27 11:23:29,2018-08-27 11:23:42,1.0,UTC+0200,0.21666666666666667,2018-08-27,9
233,2018-04-04 13:34:22,2018-04-04 13:34:33,1.0,UTC-0400,0.18333333333333332,2018-04-04,17
234,2018-10-17 20:58:37,2018-10-17 20:59:05,1.0,UTC-0400,0.4666666666666667,2018-10-18,0
235,2018-09-26 21:02:00,2018-09-26 21:02:27,1.0,UTC-0400,0.45,2018-09-27,1
236,2018-03-28 21:05:47,2018-03-28 21:07:48,9.0,UTC-0400,2.0166666666666666,2018-03-29,1
237,2018-02-28 17:58:25,2018-02-28 17:59:43,2.0,UTC-0500,1.3,2018-02-28,22
238,2018-05-08 06:43:52,2018-05-08 06:44:09,1.0,UTC-0400,0.2833333333333333,2018-05-08,10
239,2018-11-01 20:06:33,2018-11-01 20:07:01,1.0,UTC-0400,0.4666666666666667,2018-11-02,0
240,2018-03-05 18:31:49,2018-03-05 18:32:01,1.0,UTC-0500,0.2,2018-03-05,23
241,2017-12-24 08:59:08,2017-12-24 08:59:37,2.0,UTC-0800,0.48333333333333334,2017-12-24,16
242,2018-02-09 07:27:15,2018-02-09 07:29:26,9.0,UTC-0500,2.183333333333333,2018-02-09,12
243,2018-05-23 17:22:27,2018-05-23 17:22:46,1.0,UTC-0400,0.31666666666666665,2018-05-23,21
244,2018-05-11 19:00:39,2018-05-11 19:02:00,2.0,UTC-0400,1.35,2018-05-11,23
245,2017-12-18 09:15:09,2017-12-18 09:15:38,1.0,UTC-0500,0.48333333333333334,2017-12-18,14
246,2018-04-19 19:30:15,2018-04-19 19:30:39,1.0,UTC-0400,0.4,2018-04-19,23
247,2018-05-07 08:43:28,2018-05-07 08:43:50,1.0,UTC-0400,0.36666666666666664,2018-05-07,12
248,2018-02-07 09:08:23,2018-02-07 09:08:37,1.0,UTC-0500,0.23333333333333334,2018-02-07,14
249,2017-12-24 11:32:59,2017-12-24 11:33:28,1.0,UTC-0800,0.48333333333333334,2017-12-24,19
