,Date,walk_time_hour,count,calorie,distance,Duration_in_min
274,2018-12-17,12,536,22.6999999,378.3490049999999,16.749999999999993
275,2018-12-17,13,144,6.93,116.12,3.95
276,2018-12-17,14,111,4.85,87.3,3.933333333333333
277,2018-12-17,15,493,21.56,377.16,7.866666666666666
278,2018-12-17,16,142,6.04,106.669,3.933333333333333
279,2018-12-17,17,72,3.14,56.06,1.9666666666666666
280,2018-12-17,18,152,6.8500000000000005,123.74000000000001,3.933333333333333
281,2018-12-17,19,145,6.34,113.63999999999999,1.9666666666666666
282,2018-12-17,20,168,7.33,130.322,5.916666666666667
283,2018-12-17,21,41,1.7999999,33.590002,2.0
284,2018-12-17,22,33,1.43,23.73,1.9833333333333334
285,2018-12-17,23,107,4.79,84.93,3.95
286,2018-12-18,0,53,2.2400001,41.42,3.9833333333333334
287,2018-12-18,1,661,28.870000000000008,504.1000000000001,21.633333333333333
288,2018-12-18,2,125,6.01,100.6,5.95
289,2018-12-18,3,182,8.34,141.26000000000002,4.933333333333334
290,2018-12-18,4,228,9.61,164.33899999999997,9.833333333333332
291,2018-12-18,13,129,5.96,110.299991,2.9833333333333334
292,2018-12-18,14,5,0.5,5.9,1.0
293,2018-12-18,15,270,11.73999998,208.149,5.916666666666667
294,2018-12-18,16,81,3.3699999700000003,57.870000000000005,3.966666666666667
295,2018-12-18,17,163,7.049999999999999,124.43999999999998,4.95
296,2018-12-18,18,133,5.61,94.33,4.916666666666666
297,2018-12-18,20,547,24.380000000000003,435.5,9.833333333333332
298,2018-12-18,21,2623,150.39000000000001,2238.3010000000004,45.233333333333356
299,2018-12-18,22,601,26.579999999999995,463.42999999999995,12.799999999999997
300,2018-12-18,23,220,10.069999999999999,174.859,7.9
301,2018-12-19,0,229,9.78999998,168.0900003,9.866666666666665
302,2018-12-19,2,262,11.0,183.16000000000003,10.816666666666665
303,2018-12-19,5,16,0.56,8.861,0.9833333333333333
304,2018-12-19,12,22,0.93,14.7,0.9833333333333333
305,2018-12-19,15,103,4.38,73.88999999999999,2.9499999999999997
306,2018-12-19,16,167,6.94,116.99999999999999,6.883333333333333
307,2018-12-19,17,264,11.17,191.98899999999998,10.833333333333332
308,2018-12-19,18,734,38.420000200000004,480.1690029999999,17.71666666666666
309,2018-12-19,19,73,3.03,49.43,4.916666666666666
310,2018-12-19,20,102,4.42,77.82,3.933333333333333
311,2018-12-19,21,122,5.13,88.1,5.8999999999999995
312,2018-12-19,22,121,5.3999999999999995,96.64999999999999,3.933333333333333
